10 2 0.91
10 3 1.41
10 4 2.80
10 5 4.32
15 2 1.25
15 3 2.13
15 4 5.92
15 5 6.47
20 2 2.37
20 3 4.39
20 4 10.45
20 5 8.28
25 2 7.59
25 3 4.03
25 4 22.71
25 5 9.85
30 2 5.80
30 3 12.63
30 4 15.29
30 5 25.62
35 2 4.24
35 3 8.48
35 4 25.30
35 5 187.38
40 2 7.35
40 3 27.20
40 4 45.36
40 5 407.49
45 2 9.89
45 3 49.77
45 4 24.44
45 5 534.18
50 2 34.99
50 3 32.14
50 4 141.68
50 5 85.34
55 2 10.40
55 3 19.83
55 4 59.67
55 5 164.02
60 2 18.06
60 3 50.99
60 4 108.03
60 5 47.96
65 2 14.94
65 3 87.59
65 4 86.59
65 5 77.02
70 2 27.40
70 3 84.55
70 4 72.73
70 5 138.47
75 2 28.69
75 3 136.56
75 4 220.48
75 5 706.71
80 2 23.03
80 3 55.33
80 4 235.25
80 5 461.07
