10 2 0.220000
10 3 0.450000
10 4 0.650000
10 5 1.080000
20 2 0.630000
20 3 1.480000
20 4 2.640000
20 5 5.240000
30 2 1.550000
30 3 3.650000
30 4 6.700000
30 5 14.710000
40 2 3.020000
40 3 7.400000
40 4 15.640000
40 5 32.190000
50 2 5.520000
50 3 15.020000
50 4 27.480000
50 5 66.370000
60 2 9.050000
60 3 26.670000
60 4 48.530000
60 5 126.240000
70 2 14.260000
70 3 39.660000
70 4 76.840000
70 5 194.350000
80 2 21.120000
80 3 66.590000
80 4 118.190000
80 5 307.120000
90 2 31.450000
90 3 89.270000
90 4 177.360000
90 5 453.000000
100 2 45.080000
100 3 130.470000
100 4 235.480000
100 5 672.550000
